testid, verdict, return_state, description, start_time, end_time, duration_sec
104, INCONCLUSIVE, 9, INCONCLUSIVE_TEST_VERDICT, 2014/11/03 13:55:44, 2014/11/03 13:57:48, 124.0
105, PASS, 0, PASS, 2014/11/03 13:57:48, 2014/11/03 13:59:52, 124.0
